CustomerID,Country,RegionGroup,last_purchase_date,recency_days,frequency,monetary,avg_order_value,basket_size,avg_items_per_invoice,unique_products,avg_unit_price
12346,United Kingdom,Storbritannien och Irland,2011-01-18 10:01:00,325,1,77183.6,77183.6,74215,74215.0,1,1.04
12347,Iceland,Norden,2011-12-07 15:52:00,1,7,4310.0,615.7142857142857,2458,351.14285714285717,103,2.644010989010989
12348,Finland,Norden,2011-09-25 13:13:00,74,4,1797.24,449.31,2341,585.25,22,5.764838709677419
12349,Italy,Sydeuropa,2011-11-21 09:51:00,18,1,1757.55,1757.55,631,631.0,73,8.289041095890411
12350,Norway,Norden,2011-02-02 16:01:00,309,1,334.4,334.4,197,197.0,17,3.841176470588235
12352,Norway,Norden,2011-11-03 14:37:00,35,8,2506.04,313.255,536,67.0,59,15.93070588235294
12353,Bahrain,Mellanöstern,2011-05-19 17:47:00,203,1,89.0,89.0,20,20.0,4,6.074999999999999
12354,Spain,Sydeuropa,2011-04-21 13:11:00,231,1,1079.4,1079.4,530,530.0,58,4.503793103448276
12355,Bahrain,Mellanöstern,2011-05-09 13:49:00,213,1,459.4,459.4,240,240.0,13,4.203846153846154
12356,Portugal,Sydeuropa,2011-11-17 08:40:00,22,3,2811.43,937.1433333333333,1591,530.3333333333334,53,3.201186440677966
12357,Switzerland,Västeuropa,2011-11-06 16:07:00,32,1,6207.67,6207.67,2708,2708.0,131,3.3486259541984733
12358,Austria,Västeuropa,2011-12-08 10:26:00,1,2,1168.0600000000002,584.03,248,124.0,13,8.27421052631579
12359,Cyprus,Sydeuropa,2011-10-13 12:47:00,57,4,6372.58,1593.145,1622,405.5,214,8.620403225806452
12360,Austria,Västeuropa,2011-10-18 15:22:00,51,3,2662.06,887.3533333333334,1165,388.3333333333333,105,3.54968992248062
12361,Belgium,Västeuropa,2011-02-25 13:51:00,286,1,189.9,189.9,91,91.0,10,3.335
12362,Belgium,Västeuropa,2011-12-06 15:40:00,2,10,5226.23,522.623,2229,222.9,201,3.94093984962406
12363,Unspecified,Övrigt,2011-08-22 10:18:00,109,2,552.0,276.0,408,204.0,23,2.3117391304347827
12364,Belgium,Västeuropa,2011-12-02 10:22:00,7,4,1313.1,328.275,1506,376.5,70,1.910235294117647
12365,Cyprus,Sydeuropa,2011-02-21 14:04:00,290,2,641.38,320.69,174,87.0,22,17.150454545454547
12367,Denmark,Norden,2011-12-05 16:48:00,3,1,168.9,168.9,173,173.0,11,3.2
12370,Cyprus,Västeuropa,2011-10-19 14:51:00,50,4,3545.69,886.4225,2353,588.25,143,2.800299401197605
12371,Switzerland,Västeuropa,2011-10-26 10:16:00,44,2,1887.96,943.98,591,295.5,63,3.8742857142857146
12372,Denmark,Norden,2011-09-29 12:12:00,71,3,1298.04,432.68,794,264.6666666666667,34,3.001346153846154
12373,Austria,Västeuropa,2011-02-01 13:10:00,310,1,364.6,364.6,197,197.0,14,4.582142857142857
12374,Austria,Västeuropa,2011-11-14 15:37:00,24,1,742.9300000000001,742.9300000000001,342,342.0,33,4.21969696969697
12375,Finland,Norden,2011-11-29 10:36:00,10,2,457.5,228.75,178,89.0,14,6.912941176470588
12377,Switzerland,Västeuropa,2011-01-28 15:45:00,314,2,1628.12,814.06,944,472.0,72,2.718831168831169
