CustomerID,Country,recency_days,frequency,monetary,avg_order_value,basket_size,avg_items_per_invoice,unique_products,avg_unit_price
9001,United Kingdom,2,82,92000,1121.95,51000,621.95,940,2.35
9002,Netherlands,4,76,310000,4078.95,205000,2697.37,780,2.45
9003,EIRE,1,168,132000,785.71,84000,500.0,1580,4.85
9004,Sweden,9,18,28500,1583.33,29000,1611.11,120,2.55
9005,Germany,18,28,11800,421.43,7600,271.43,210,3.35
9006,Spain,35,9,4200,466.67,2100,233.33,95,4.2
9007,Finland,6,2,2600,1300.0,310,155.0,42,9.4
9008,Australia,65,3,520,173.33,260,86.67,22,3.1
9009,Japan,120,1,180,180.0,160,160.0,5,1.15
9010,Channel Islands,245,24,46000,1916.67,21000,875.0,430,4.05
9011,United Kingdom,315,1,42,42.0,5,5.0,1,8.4
9012,Italy,285,7,2900,414.29,900,128.57,55,5.8
