CustomerID,Country,RegionGroup,recency_days,frequency,monetary,avg_order_value,basket_size,avg_items_per_invoice,unique_products,avg_unit_price,last_purchase_date,Cluster,ClusterName
12346,United Kingdom,UK & Ireland,326,1,77183.6,77183.6,74215,74215.0,1,1.04,2011-01-18 10:01:00,0,Champions
12347,Iceland,Nordics,2,7,4310.0,615.7142857142857,2458,351.1428571428572,103,2.644010989010989,2011-12-07 15:52:00,0,Champions
12348,Finland,Nordics,75,4,1797.24,449.31,2341,585.25,22,5.764838709677419,2011-09-25 13:13:00,1,Regulars
12349,Italy,Southern Europe,19,1,1757.55,1757.55,631,631.0,73,8.289041095890411,2011-11-21 09:51:00,1,Regulars
12350,Norway,Nordics,310,1,334.4,334.4,197,197.0,17,3.841176470588235,2011-02-02 16:01:00,1,Regulars
12352,Norway,Nordics,36,8,2506.04,313.255,536,67.0,59,15.93070588235294,2011-11-03 14:37:00,3,Big-ticket occasional
12353,Bahrain,Middle East,204,1,89.0,89.0,20,20.0,4,6.074999999999999,2011-05-19 17:47:00,2,At-risk low value
12354,Spain,Southern Europe,232,1,1079.4,1079.4,530,530.0,58,4.5037931034482765,2011-04-21 13:11:00,1,Regulars
12355,Bahrain,Middle East,214,1,459.4,459.4,240,240.0,13,4.203846153846154,2011-05-09 13:49:00,1,Regulars
12356,Portugal,Southern Europe,23,3,2811.43,937.1433333333332,1591,530.3333333333334,53,3.201186440677966,2011-11-17 08:40:00,0,Champions
12357,Switzerland,Western Europe,33,1,6207.67,6207.67,2708,2708.0,131,3.3486259541984733,2011-11-06 16:07:00,0,Champions
12358,Austria,Western Europe,2,2,1168.06,584.03,248,124.0,13,8.27421052631579,2011-12-08 10:26:00,3,Big-ticket occasional
12359,Cyprus,Southern Europe,58,4,6372.58,1593.145,1622,405.5,214,8.620403225806452,2011-10-13 12:47:00,0,Champions
12360,Austria,Western Europe,52,3,2662.06,887.3533333333334,1165,388.3333333333333,105,3.54968992248062,2011-10-18 15:22:00,0,Champions
12361,Belgium,Western Europe,287,1,189.9,189.9,91,91.0,10,3.335,2011-02-25 13:51:00,2,At-risk low value
12362,Belgium,Western Europe,3,10,5226.23,522.6229999999999,2229,222.9,201,3.94093984962406,2011-12-06 15:40:00,0,Champions
12363,Unspecified,Other,110,2,552.0,276.0,408,204.0,23,2.3117391304347827,2011-08-22 10:18:00,1,Regulars
12364,Belgium,Western Europe,8,4,1313.1,328.275,1506,376.5,70,1.910235294117647,2011-12-02 10:22:00,0,Champions
12365,Cyprus,Southern Europe,291,2,641.38,320.69,174,87.0,22,17.150454545454547,2011-02-21 14:04:00,2,At-risk low value
12367,Denmark,Nordics,4,1,168.9,168.9,173,173.0,11,3.2,2011-12-05 16:48:00,3,Big-ticket occasional
12370,Cyprus,Southern Europe,51,4,3545.69,886.4224999999999,2353,588.25,143,2.800299401197605,2011-10-19 14:51:00,0,Champions
12371,Switzerland,Western Europe,45,2,1887.96,943.98,591,295.5,63,3.8742857142857146,2011-10-26 10:16:00,1,Regulars
12372,Denmark,Nordics,72,3,1298.04,432.68,794,264.6666666666667,34,3.001346153846154,2011-09-29 12:12:00,1,Regulars
12373,Austria,Western Europe,311,1,364.6,364.6,197,197.0,14,4.582142857142857,2011-02-01 13:10:00,1,Regulars
